nom,tailleMot,nbResults
belastingadviseur,17,502000
onbelaste,9,121000
gevlekt,7,643000
verderop,8,2690000
sandebuur,9,29300
doorwerth,9,866000
universele,10,10200000
waakhond,8,267000
alg,3,44500000
wilbertoord,11,221000
toegewijd,9,2640000
scharnier,9,4720000
toetsing,8,1970000
soeplepel,9,197000
huinen,6,75900
bloei,5,3480000
elsendorp,9,313000
geboomte,8,103000
schildklier,11,436000
grieken,7,1930000
doorspeelden,12,6290
harddrug,8,391000
wiegelde,8,23800
vrijkomen,9,707000
gehandicapten,13,3470000
slaghout,8,19900
wegrenden,9,8020
natuurliefhebber,16,198000
incompatibel,12,39100000
scholden,8,73300
bouwval,7,135000
bevloeren,9,10600
boodschappers,13,160000
innen,5,126000000
boomstronken,12,88200
her,3,4740000000
onthand,7,65200
nierstukken,11,2800
condenseert,11,51700
zeeschepen,10,217000
echtelijk,9,30900
bonsden,7,12400
doorberekent,12,319000
veefokkerij,11,23300
pint,4,63900000
piept,5,4660000
zonnecollector,14,350000
travesteren,11,1100
herkenbosch,11,611000
gedijen,7,301000
