nom,tailleMot,nbResults
gerundet,8,2250000
anstriche,9,958000
hysterischer,12,82900
nachbarschaften,15,21600000
kampfbegierde,13,3900
notwendigen,11,40500000
gellen,6,400000
erfindungsreichstem,19,1170
leichtathletikkampf,19,2370
hackender,9,37200
harmoniertest,13,1180
radiochemiker,13,4070
anbellendes,11,1680
unaussprechliche,16,742000
hingehend,9,3760000
schlachtendes,13,89500
absurderer,10,1220
zerzaustestem,13,1170
auslegung,9,9520000
abbestellter,12,4550
ermutigenden,12,448000
wortschwalle,12,2020
zugab,5,250000
umtausche,9,40400
kokettierender,14,2700
stanniol,8,135000
mixer,5,171000000
abgeschlossenem,15,362000
weiterverarbeiten,17,1470000
unsolidere,10,1500
wachse,6,1660000
freister,8,111000
niedersachsen,13,62300000
hosenschlitz,12,189000
einpflanzendes,14,4050
eislauf,7,454000
luftpostabonnements,19,2990
leistungstief,13,32000
gesetzlichem,12,644000
interpretiertes,15,5600000
zeugten,7,318000
emporragendes,13,9670
aktiviert,9,28900000
naturkunde,10,1550000
glaubensideologie,17,2830
sprengend,9,18100
sehnender,9,92600
geschabten,10,13800
pragmatisch,11,1470000
geldsparen,10,10500000
